0 350.0 0.0 0.0 0.0
1 0.0 1.0 0.0 1.0
2 1151.8 0.865 0.0 1.0
3 0.0 1.0 0.0 1.0
4 0.0 1.0 0.0 1.0
5 0.0 1.0 0.0 1.0
6 0.0 1.0 0.0 1.0
7 1263.4 0.862 1.35 0.976036
8 0.0 1.0 0.0 1.0
9 0.0 1.0 0.0 1.0
10 0.0 1.0 0.0 1.0
11 1302.7 0.858 2.77 1.223113
12 1136.5 0.862 1.82 0.88409
13 1197.6 0.861 2.66 0.921018
14 0.0 1.0 0.0 1.0
15 1488.7 0.86 2.32 1.13202
16 2335.0 0.862 1.48 0.984171
17 1105.6 0.861 3.67 1.055096
18 1263.7 0.861 4.57 1.038865
19 1276.0 0.861 2.56 1.071005
20 1918.5 0.863 2.48 0.888036
21 1112.5 0.864 2.38 0.991382
22 2496.6 0.862 4.15 1.034389
23 1232.2 0.862 2.19 1.098228
24 1246.1 0.86 2.61 1.119488
25 3537.6 0.86 2.74 1.033349
26 1502.3 0.858 3.43 0.895496
27 1420.0 0.861 1.11 1.102778
28 945.1 0.861 2.06 1.088917
29 1177.2 0.858 2.77 1.086467
30 1236.6 0.862 2.67 1.063118
31 1252.8 0.861 1.82 1.018661
32 1084.7 0.863 3.15 1.064928
33 1250.1 0.862 2.52 1.089397
34 1696.7 0.863 4.16 1.086731
35 1318.6 0.861 2.68 1.167149
36 1129.9 0.863 1.63 1.038212
37 1332.4 0.859 1.91 1.059314
38 0.0 0.864 3.73 1.0727
39 1234.9 0.862 2.19 1.049314
40 1260.9 0.862 1.84 1.069042
41 1132.4 0.864 2.39 0.932198
42 1104.6 0.859 2.9 1.017046
43 1212.5 0.863 3.11 1.096507
44 1179.5 0.858 3.01 1.055321
45 1261.7 0.862 1.85 1.091607
46 0.0 0.86 -13.656 1.0766902
47 1323.8 0.862 2.13 1.106863
48 1198.6 0.86 2.17 1.038903
49 1162.7 0.862 2.41 1.043024
50 582.0 0.859 3.0 1.04826
51 0.0 1.0 0.0 1.0
52 1145.4 0.862 2.11 1.041926
53 0.0 1.0 0.0 1.0
54 2036.4 0.859 -14.66 1.075451
55 1123.9 0.864 2.96 1.080855
56 588.5 0.861 2.31 1.079462
57 1154.1 0.861 2.04 1.045132
58 0.0 1.0 0.0 1.0
59 1208.4 0.86 2.05 1.055598
60 345.0 0.861 3.12 1.024527
61 1184.7 0.861 3.12 1.088542
62 1126.4 0.861 3.0 1.107622
63 1619.8 0.861 2.63 0.772539
64 1166.7 0.862 3.05 1.09956
65 1256.4 0.863 1.76 1.05751
66 1100.1 0.861 3.29 1.074217
67 1207.6 0.862 3.36 1.164928
68 1401.8 0.865 4.09 1.022349
69 1136.9 0.861 2.49 1.082179
70 1227.1 0.861 2.6 1.060964
71 1369.2 0.864 4.67 1.263559
72 0.0 0.862 0.0 1.0
73 1122.6 0.862 3.34 1.263304
74 1213.4 0.863 1.05 1.330291
75 1235.0 0.861 2.35 0.839134
76 1183.6 0.862 3.48 1.087612
77 954.4 0.861 3.7 1.015313
78 0.0 1.0 0.0 1.0
79 4180.0 0.864 3.22 1.009113
80 1108.6 0.86 2.09 0.996045
81 1146.0 0.862 2.0 1.025775
82 0.0 0.862 2.91 1.070436
83 985.3 0.862 3.09 1.054712
84 0.0 0.862 1.92 1.082049
85 1003.5 0.862 3.5 1.062748
86 0.0 0.862 3.49 1.0032
87 1100.2 0.862 1.47 1.262591
88 1081.1 0.861 3.72 1.089157
89 0.0 1.0 0.0 1.0
90 1040.9 0.858 2.18 0.872566
91 1127.5 0.86 1.69 1.191992
92 1217.4 0.861 1.67 1.020711
93 1359.4 0.863 4.29 0.941108
94 1750.1 0.862 2.28 0.881789
95 1197.5 0.862 1.61 1.010882
96 1229.6 0.861 3.86 1.025682
97 1063.2 0.861 3.78 0.989981
98 1275.1 0.862 5.12 1.162858
99 1881.4 0.861 3.76 1.02708
100 1464.7 0.862 3.1 1.054288
101 0.0 0.862 2.2 1.054106
102 1249.9 0.861 2.84 0.938557
103 4023.1 0.864 2.22 0.912943
104 2960.1 0.862 3.08 0.948797
105 2127.5 0.864 4.67 1.181792
106 1682.0 0.861 3.28 0.927276
107 1138.9 0.86 2.07 0.999171
108 1693.9 0.862 2.41 0.985551
109 0.0 0.862 2.67 1.262177
110 0.0 0.857 -3.95 1.005913
