Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
4.500000	84.865    	4.500000	67.2635   	4.500000	70.9069   	4.500000	70.9069   	4.500000	67.1849   	4.500000	0.078545  	
5.000000	81.7348   	5.000000	65.3404   	5.000000	68.9641   	5.000000	68.9641   	5.000000	65.2687   	5.000000	0.0717244 	
5.500000	78.7982   	5.500000	63.5707   	5.500000	67.1162   	5.500000	67.1162   	5.500000	63.5046   	5.500000	0.0660543 	
6.000000	76.0536   	6.000000	61.8794   	6.000000	65.3606   	6.000000	65.3606   	6.000000	61.8181   	6.000000	0.0612613 	
6.500000	73.492    	6.500000	60.2524   	6.500000	63.6932   	6.500000	63.6932   	6.500000	60.1952   	6.500000	0.0571531 	
7.000000	71.101    	7.000000	58.6814   	7.000000	62.1092   	7.000000	62.1092   	7.000000	58.6278   	7.000000	0.0535902 	
7.500000	68.8677   	7.500000	57.2064   	7.500000	60.6035   	7.500000	60.6035   	7.500000	57.156    	7.500000	0.0504689 	
8.000000	66.7789   	8.000000	55.8152   	8.000000	59.171    	8.000000	59.171    	8.000000	55.7675   	8.000000	0.0477104 	
8.500000	64.8225   	8.500000	54.4981   	8.500000	57.8071   	8.500000	57.8071   	8.500000	54.4529   	8.500000	0.0452539 	
9.000000	62.9871   	9.000000	53.2426   	9.000000	56.5071   	9.000000	56.5071   	9.000000	53.1995   	9.000000	0.0430514 	
9.500000	61.2623   	9.500000	52.041    	9.500000	55.2667   	9.500000	55.2667   	9.500000	51.9999   	9.500000	0.0410648 	
10.000000	59.6386   	10.000000	52.6864   	10.000000	54.0821   	10.000000	54.0821   	10.000000	52.6472   	10.000000	0.0392632 	
11.000000	56.662    	11.000000	50.763    	11.000000	51.4683   	11.000000	51.9971   	11.000000	50.7269   	11.000000	0.036119  	
12.000000	53.9988   	12.000000	48.966    	12.000000	49.1093   	12.000000	50.0755   	12.000000	48.9325   	12.000000	0.0334648 	
13.000000	51.6021   	13.000000	47.2887   	13.000000	46.9715   	13.000000	48.301    	13.000000	47.2575   	13.000000	0.0311927 	
14.000000	49.4332   	14.000000	45.7228   	14.000000	45.0262   	14.000000	46.6588   	14.000000	45.6935   	14.000000	0.0292244 	
15.000000	47.4607   	15.000000	44.2594   	15.000000	43.2488   	15.000000	45.1357   	15.000000	44.2319   	15.000000	0.0275018 	
16.000000	45.6585   	16.000000	42.8902   	16.000000	41.6201   	16.000000	43.7199   	16.000000	42.8642   	16.000000	0.0259808 	
17.000000	44.0052   	17.000000	41.6071   	17.000000	40.1227   	17.000000	42.4012   	17.000000	41.5825   	17.000000	0.0246275 	
18.000000	42.4825   	18.000000	40.4028   	18.000000	38.7407   	18.000000	41.1703   	18.000000	40.3794   	18.000000	0.0234151 	
19.000000	41.0752   	19.000000	39.2706   	19.000000	37.4628   	19.000000	40.0193   	19.000000	39.2482   	19.000000	0.0223224 	
20.000000	39.7704   	20.000000	38.2044   	20.000000	36.2806   	20.000000	38.941    	20.000000	38.183    	20.000000	0.0213321 	
21.000000	38.5569   	21.000000	37.1987   	21.000000	35.1837   	21.000000	37.9293   	21.000000	37.1783   	21.000000	0.0204303 	
22.000000	37.4252   	22.000000	36.2487   	22.000000	34.1612   	22.000000	36.9784   	22.000000	36.2291   	22.000000	0.0196054 	
23.000000	36.3672   	23.000000	35.3499   	23.000000	33.2069   	23.000000	36.0835   	23.000000	35.3311   	23.000000	0.0188478 	
24.000000	35.3755   	24.000000	34.4983   	24.000000	32.3172   	24.000000	35.2401   	24.000000	34.4802   	24.000000	0.0181495 	
25.000000	34.4441   	25.000000	33.6904   	25.000000	31.4865   	25.000000	34.4443   	25.000000	33.6729   	25.000000	0.0175036 	
27.000000	32.7407   	27.000000	32.1925   	27.000000	29.9765   	27.000000	32.9813   	27.000000	32.1762   	27.000000	0.0163469 	
29.000000	31.2204   	29.000000	30.8338   	29.000000	28.6461   	29.000000	31.67     	29.000000	30.8185   	29.000000	0.0153405 	
31.000000	29.8544   	31.000000	29.5957   	31.000000	27.5379   	31.000000	30.4147   	31.000000	29.5813   	31.000000	0.0144563 	
33.000000	28.6197   	33.000000	28.4627   	33.000000	26.5876   	33.000000	29.2005   	33.000000	28.4491   	33.000000	0.0136731 	
35.000000	27.4978   	35.000000	27.422    	35.000000	25.7099   	35.000000	28.0887   	35.000000	27.409    	35.000000	0.0129743 	
38.000000	25.994    	38.000000	26.0104   	38.000000	24.5079   	38.000000	26.5863   	38.000000	25.9983   	38.000000	0.0120562 	
41.000000	24.6698   	41.000000	24.7521   	41.000000	23.4272   	41.000000	25.252    	41.000000	24.7408   	41.000000	0.011265  	
44.000000	23.494    	44.000000	23.6232   	44.000000	22.4481   	44.000000	24.0588   	44.000000	23.6126   	44.000000	0.0105757 	
47.000000	22.4424   	47.000000	22.6047   	47.000000	21.5583   	47.000000	22.9854   	47.000000	22.5947   	47.000000	0.00996947	
50.000000	21.4958   	50.000000	21.681    	50.000000	20.745    	50.000000	22.0144   	50.000000	21.6716   	50.000000	0.00943203	
55.000000	20.1111   	55.000000	20.3187   	55.000000	19.5349   	55.000000	20.5867   	55.000000	20.3101   	55.000000	0.0086596 	
60.000000	18.9219   	60.000000	19.1391   	60.000000	18.4787   	60.000000	19.3547   	60.000000	19.1311   	60.000000	0.00800912	
65.000000	17.8888   	65.000000	18.1076   	65.000000	17.5484   	65.000000	18.2806   	65.000000	18.1001   	65.000000	0.00745345	
70.000000	16.9821   	70.000000	17.1978   	70.000000	16.7224   	70.000000	17.3359   	70.000000	17.1909   	70.000000	0.00697301	
75.000000	16.1794   	75.000000	16.3895   	75.000000	15.9841   	75.000000	16.4985   	75.000000	16.3829   	75.000000	0.00655328	
80.000000	15.4635   	80.000000	15.6664   	80.000000	15.32     	80.000000	15.7511   	80.000000	15.6602   	80.000000	0.00618328	
85.000000	14.8206   	85.000000	15.0158   	85.000000	14.7193   	85.000000	15.08     	85.000000	15.01     	85.000000	0.00585456	
90.000000	14.2398   	90.000000	14.4273   	90.000000	14.1734   	90.000000	14.4741   	90.000000	14.4218   	90.000000	0.00556046	
95.000000	13.7123   	95.000000	13.8924   	95.000000	13.675    	95.000000	13.9244   	95.000000	13.8871   	95.000000	0.00529573	
100.000000	13.2309   	100.000000	13.4041   	100.000000	13.2196   	100.000000	13.4233   	100.000000	13.399    	100.000000	0.00505611	
105.000000	12.7898   	105.000000	12.9566   	105.000000	12.8006   	105.000000	12.9648   	105.000000	12.9517   	105.000000	0.00483815	
110.000000	12.3838   	110.000000	12.5449   	110.000000	12.4135   	110.000000	12.5437   	110.000000	12.5403   	110.000000	0.00463898	
115.000000	12.0089   	115.000000	12.165    	115.000000	12.0562   	115.000000	12.1555   	115.000000	12.1605   	115.000000	0.00445625	
120.000000	11.6615   	120.000000	11.8133   	120.000000	11.7237   	120.000000	11.7966   	120.000000	11.809    	120.000000	0.00428798	
125.000000	11.3387   	125.000000	11.4868   	125.000000	11.414    	125.000000	11.4638   	125.000000	11.4827   	125.000000	0.00413248	
130.000000	11.0378   	130.000000	11.1829   	130.000000	11.1266   	130.000000	11.1544   	130.000000	11.1789   	130.000000	0.00398834	
135.000000	10.7566   	135.000000	10.8993   	135.000000	10.8575   	135.000000	10.866    	135.000000	10.8954   	135.000000	0.00385434	
140.000000	10.4933   	140.000000	10.634    	140.000000	10.605    	140.000000	10.5965   	140.000000	10.6303   	140.000000	0.00372943	
145.000000	10.246    	145.000000	10.3854   	145.000000	10.3675   	145.000000	10.3442   	145.000000	10.3818   	145.000000	0.00361271	
150.000000	10.0134   	150.000000	10.152    	150.000000	10.1439   	150.000000	10.1075   	150.000000	10.1485   	150.000000	0.00350337	
155.000000	9.75314   	155.000000	9.93231   	155.000000	9.93423   	155.000000	9.88491   	155.000000	9.92891   	155.000000	0.00340074	
160.000000	9.55899   	160.000000	9.72527   	160.000000	9.73635   	160.000000	9.67532   	160.000000	9.72196   	160.000000	0.0033042 	
165.000000	9.37548   	165.000000	9.52978   	165.000000	9.54823   	165.000000	9.47759   	165.000000	9.52657   	165.000000	0.00321323	
170.000000	9.20174   	170.000000	9.34493   	170.000000	9.37078   	170.000000	9.29075   	170.000000	9.3418    	170.000000	0.00312734	
175.000000	9.03701   	175.000000	9.16987   	175.000000	9.20307   	175.000000	9.11395   	175.000000	9.16682   	175.000000	0.00304611	
180.000000	8.88058   	180.000000	9.00385   	180.000000	9.04322   	180.000000	8.94639   	180.000000	9.00088   	180.000000	0.00296918	
185.000000	8.73185   	185.000000	8.84618   	185.000000	8.89109   	185.000000	8.78738   	185.000000	8.84329   	185.000000	0.0028962 	
190.000000	8.59025   	190.000000	8.69627   	190.000000	8.74654   	190.000000	8.63629   	190.000000	8.69344   	190.000000	0.00282687	
195.000000	8.45527   	195.000000	8.55356   	195.000000	8.60879   	195.000000	8.49254   	195.000000	8.5508    	195.000000	0.00276092	
200.000000	8.32645   	200.000000	8.41754   	200.000000	8.47735   	200.000000	8.35563   	200.000000	8.41484   	200.000000	0.00269811	
210.000000	8.08568   	210.000000	8.1638    	210.000000	8.23224   	210.000000	8.10046   	210.000000	8.16122   	210.000000	0.00258103	
220.000000	7.86501   	220.000000	7.93187   	220.000000	8.00741   	220.000000	7.8675    	220.000000	7.9294    	220.000000	0.00247408	
230.000000	7.66203   	230.000000	7.71909   	230.000000	7.80093   	230.000000	7.654     	230.000000	7.71671   	230.000000	0.002376  	
240.000000	7.47466   	240.000000	7.5232    	240.000000	7.61102   	240.000000	7.45766   	240.000000	7.52091   	240.000000	0.0022857 	
250.000000	7.30118   	250.000000	7.34229   	250.000000	7.43513   	250.000000	7.27653   	250.000000	7.34009   	250.000000	0.00220228	
260.000000	7.14007   	260.000000	7.17473   	260.000000	7.27187   	260.000000	7.10893   	260.000000	7.17261   	260.000000	0.00212498	
270.000000	6.99008   	270.000000	7.01913   	270.000000	7.12043   	270.000000	6.95343   	270.000000	7.01707   	270.000000	0.00205314	
280.000000	6.85008   	280.000000	6.87425   	280.000000	6.9794    	280.000000	6.80879   	280.000000	6.87227   	280.000000	0.00198618	
290.000000	6.71911   	290.000000	6.73906   	290.000000	6.84733   	290.000000	6.67393   	290.000000	6.73713   	290.000000	0.00192363	
300.000000	6.59633   	300.000000	6.61262   	300.000000	6.72374   	300.000000	6.54793   	300.000000	6.61076   	300.000000	0.00186505	
310.000000	6.481     	310.000000	6.49414   	310.000000	6.60801   	310.000000	6.42995   	310.000000	6.49233   	310.000000	0.00181008	
320.000000	6.37246   	320.000000	6.3829    	320.000000	6.49935   	320.000000	6.31927   	320.000000	6.38114   	320.000000	0.00175838	
330.000000	6.27015   	330.000000	6.27828   	330.000000	6.39728   	330.000000	6.21525   	330.000000	6.27657   	330.000000	0.00170968	
340.000000	6.17354   	340.000000	6.1797    	340.000000	6.30096   	340.000000	6.11733   	340.000000	6.17804   	340.000000	0.0016637 	
350.000000	6.08218   	350.000000	6.08669   	350.000000	6.20975   	350.000000	6.025     	350.000000	6.08507   	350.000000	0.00162023	
360.000000	5.99566   	360.000000	5.9988    	360.000000	6.12379   	360.000000	5.93783   	360.000000	5.99722   	360.000000	0.00157906	
370.000000	5.91362   	370.000000	5.91562   	370.000000	6.04219   	370.000000	5.85486   	370.000000	5.91408   	370.000000	0.00154002	
380.000000	5.83572   	380.000000	5.8368    	380.000000	5.9647    	380.000000	5.77628   	380.000000	5.83529   	380.000000	0.00150293	
390.000000	5.76166   	390.000000	5.76202   	390.000000	5.89091   	390.000000	5.70178   	390.000000	5.76055   	390.000000	0.00146767	
400.000000	5.69118   	400.000000	5.69098   	400.000000	5.82059   	400.000000	5.63106   	400.000000	5.68955   	400.000000	0.00143408	
410.000000	5.62402   	410.000000	5.62343   	410.000000	5.75375   	410.000000	5.56385   	410.000000	5.62203   	410.000000	0.00140206	
420.000000	5.55998   	420.000000	5.55913   	420.000000	5.69034   	420.000000	5.4999    	420.000000	5.55775   	420.000000	0.00137149	
430.000000	5.49883   	430.000000	5.49784   	430.000000	5.63006   	430.000000	5.43899   	430.000000	5.4965    	430.000000	0.00134228	
440.000000	5.44041   	440.000000	5.43939   	440.000000	5.57259   	440.000000	5.38093   	440.000000	5.43808   	440.000000	0.00131434	
450.000000	5.38454   	450.000000	5.38358   	450.000000	5.51765   	450.000000	5.32553   	450.000000	5.3823    	450.000000	0.00128758	
460.000000	5.33105   	460.000000	5.33025   	460.000000	5.46503   	460.000000	5.27261   	460.000000	5.32899   	460.000000	0.00126193	
470.000000	5.27982   	470.000000	5.27925   	470.000000	5.4146    	470.000000	5.22203   	470.000000	5.27801   	470.000000	0.00123733	
480.000000	5.23071   	480.000000	5.23044   	480.000000	5.36633   	480.000000	5.17364   	480.000000	5.22922   	480.000000	0.0012137 	
490.000000	5.18359   	490.000000	5.18367   	490.000000	5.32014   	490.000000	5.12731   	490.000000	5.18248   	490.000000	0.001191  	
