Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
1540.000000	3.82929   	1540.000000	3.86126   	1540.000000	3.96598   	1540.000000	3.78303   	1540.000000	3.86085   	1540.000000	0.000415439	
1560.000000	3.82642   	1560.000000	3.85791   	1560.000000	3.96068   	1560.000000	3.77787   	1560.000000	3.8575    	1560.000000	0.000410519	
1580.000000	3.82384   	1580.000000	3.85482   	1580.000000	3.9556    	1580.000000	3.77292   	1580.000000	3.85442   	1580.000000	0.000405718	
1600.000000	3.82155   	1600.000000	3.85199   	1600.000000	3.95071   	1600.000000	3.76819   	1600.000000	3.85159   	1600.000000	0.000401033	
1620.000000	3.81954   	1620.000000	3.84939   	1620.000000	3.94603   	1620.000000	3.76365   	1620.000000	3.84899   	1620.000000	0.000396458	
1640.000000	3.81779   	1640.000000	3.84703   	1640.000000	3.94153   	1640.000000	3.7593    	1640.000000	3.84664   	1640.000000	0.00039199	
1660.000000	3.8163    	1660.000000	3.84489   	1660.000000	3.93721   	1660.000000	3.75514   	1660.000000	3.8445    	1660.000000	0.000387626	
1680.000000	3.81506   	1680.000000	3.84297   	1680.000000	3.93307   	1680.000000	3.75116   	1680.000000	3.84258   	1680.000000	0.000383361	
1700.000000	3.81406   	1700.000000	3.84126   	1700.000000	3.9291    	1700.000000	3.74735   	1700.000000	3.84088   	1700.000000	0.000379192	
1750.000000	3.81258   	1750.000000	3.83785   	1750.000000	3.91991   	1750.000000	3.73851   	1750.000000	3.83748   	1750.000000	0.000369171	
1800.000000	3.81245   	1800.000000	3.83559   	1800.000000	3.91169   	1800.000000	3.73061   	1800.000000	3.83524   	1800.000000	0.000359684	
1850.000000	3.81357   	1850.000000	3.83441   	1850.000000	3.90437   	1850.000000	3.72353   	1850.000000	3.83406   	1850.000000	0.00035069	
1900.000000	3.81585   	1900.000000	3.83421   	1900.000000	3.89785   	1900.000000	3.71723   	1900.000000	3.83387   	1900.000000	0.00034215	
1950.000000	3.81923   	1950.000000	3.83491   	1950.000000	3.89204   	1950.000000	3.71161   	1950.000000	3.83458   	1950.000000	0.00033403	
2000.000000	3.82361   	2000.000000	3.83646   	2000.000000	3.88687   	2000.000000	3.70663   	2000.000000	3.83613   	2000.000000	0.0003263 	
2100.000000	3.83515   	2100.000000	3.84183   	2100.000000	3.8782    	2100.000000	3.69836   	2100.000000	3.84152   	2100.000000	0.000311902	
2200.000000	3.85002   	2200.000000	3.8499    	2200.000000	3.87145   	2200.000000	3.69203   	2200.000000	3.8496    	2200.000000	0.000298762	
2300.000000	3.86783   	2300.000000	3.86031   	2300.000000	3.86636   	2300.000000	3.68734   	2300.000000	3.86002   	2300.000000	0.000286721	
2400.000000	3.88827   	2400.000000	3.87277   	2400.000000	3.86269   	2400.000000	3.68405   	2400.000000	3.87249   	2400.000000	0.000275644	
2500.000000	3.91105   	2500.000000	3.88703   	2500.000000	3.86025   	2500.000000	3.68194   	2500.000000	3.88677   	2500.000000	0.00026542	
2600.000000	3.93596   	2600.000000	3.90289   	2600.000000	3.85886   	2600.000000	3.68083   	2600.000000	3.90263   	2600.000000	0.000255952	
2700.000000	3.96279   	2700.000000	3.92016   	2700.000000	3.85836   	2700.000000	3.68059   	2700.000000	3.91991   	2700.000000	0.000247158	
2800.000000	3.99137   	2800.000000	3.93869   	2800.000000	3.85861   	2800.000000	3.68109   	2800.000000	3.93845   	2800.000000	0.000238968	
2900.000000	4.02155   	2900.000000	3.95835   	2900.000000	3.85952   	2900.000000	3.68223   	2900.000000	3.95812   	2900.000000	0.000231321	
3000.000000	4.05321   	3000.000000	3.97903   	3000.000000	3.861     	3000.000000	3.68392   	3000.000000	3.9788    	3000.000000	0.000224165	
3200.000000	4.12049   	3200.000000	4.02302   	3200.000000	3.86533   	3200.000000	3.68865   	3200.000000	4.02281   	3200.000000	0.000211144	
3400.000000	4.19246   	3400.000000	4.07003   	3400.000000	3.87114   	3400.000000	3.69481   	3400.000000	4.06983   	3400.000000	0.000199599	
3600.000000	4.26853   	3600.000000	4.11952   	3600.000000	3.87805   	3600.000000	3.70203   	3600.000000	4.11933   	3600.000000	0.000189289	
3800.000000	4.34822   	3800.000000	4.17108   	3800.000000	3.88578   	3800.000000	3.71004   	3800.000000	4.1709    	3800.000000	0.000180025	
4000.000000	4.43116   	4000.000000	4.2244    	4000.000000	3.89412   	4000.000000	3.71864   	4000.000000	4.22423   	4000.000000	0.000171653	
4200.000000	4.51703   	4200.000000	4.27921   	4200.000000	3.9029    	4200.000000	3.72766   	4200.000000	4.27904   	4200.000000	0.000164049	
4400.000000	4.60558   	4400.000000	4.33529   	4400.000000	3.91198   	4400.000000	3.73697   	4400.000000	4.33513   	4400.000000	0.000157111	
4600.000000	4.69659   	4600.000000	4.39246   	4600.000000	3.92127   	4600.000000	3.7465    	4600.000000	4.39231   	4600.000000	0.000150754	
4800.000000	4.78988   	4800.000000	4.45058   	4800.000000	3.93069   	4800.000000	3.75615   	4800.000000	4.45044   	4800.000000	0.000144908	
5000.000000	4.88531   	5000.000000	4.50952   	5000.000000	3.94018   	5000.000000	3.76588   	5000.000000	4.50938   	5000.000000	0.000139512	
5250.000000	5.0074    	5250.000000	4.5842    	5250.000000	3.95208   	5250.000000	3.77806   	5250.000000	4.58406   	5250.000000	0.000133325	
5500.000000	5.1324    	5500.000000	4.65982   	5500.000000	3.96395   	5500.000000	3.79022   	5500.000000	4.65969   	5500.000000	0.000127679	
6000.000000	5.3905    	6000.000000	4.81338   	6000.000000	3.98746   	6000.000000	3.81425   	6000.000000	4.81327   	6000.000000	0.000117751	
6500.000000	5.65851   	6500.000000	4.96935   	6500.000000	4.01048   	6500.000000	3.8377    	6500.000000	4.96924   	6500.000000	0.000109297	
7000.000000	5.93563   	7000.000000	5.1271    	7000.000000	4.03255   	7000.000000	3.86043   	7000.000000	5.12699   	7000.000000	0.00010201	
7500.000000	6.22127   	7500.000000	5.28619   	7500.000000	4.05399   	7500.000000	3.88238   	7500.000000	5.28609   	7500.000000	9.56606e-05	
8000.000000	6.51501   	8000.000000	5.4463    	8000.000000	4.07463   	8000.000000	3.90354   	8000.000000	5.44621   	8000.000000	9.00776e-05	
8500.000000	6.81649   	8500.000000	5.60719   	8500.000000	4.09453   	8500.000000	3.9239    	8500.000000	5.6071    	8500.000000	8.51289e-05	
9000.000000	7.12545   	9000.000000	5.76866   	9000.000000	4.11371   	9000.000000	3.94348   	9000.000000	5.76858   	9000.000000	8.07112e-05	
9500.000000	7.44169   	9500.000000	5.93057   	9500.000000	4.13209   	9500.000000	3.96233   	9500.000000	5.93049   	9500.000000	7.67424e-05	
10000.000000	7.76504   	10000.000000	6.0928    	10000.000000	4.14966   	10000.000000	3.98048   	10000.000000	6.09273   	10000.000000	7.3157e-05	
11000.000000	8.43255   	11000.000000	6.41791   	11000.000000	4.18277   	11000.000000	4.01479   	11000.000000	6.41784   	11000.000000	6.69315e-05	
12000.000000	9.12719   	12000.000000	6.74346   	12000.000000	4.21354   	12000.000000	4.0467    	12000.000000	6.7434    	12000.000000	6.17097e-05	
13000.000000	9.84844   	13000.000000	7.06913   	13000.000000	4.24212   	13000.000000	4.07648   	13000.000000	7.06907   	13000.000000	5.72649e-05	
14000.000000	10.5959   	14000.000000	7.39467   	14000.000000	4.2687    	14000.000000	4.10435   	14000.000000	7.39462   	14000.000000	5.34342e-05	
15000.000000	11.3695   	15000.000000	7.71995   	15000.000000	4.29349   	15000.000000	4.13052   	15000.000000	7.7199    	15000.000000	5.00976e-05	
16000.000000	12.1688   	16000.000000	8.04487   	16000.000000	4.31667   	16000.000000	4.15518   	16000.000000	8.04482   	16000.000000	4.71645e-05	
17000.000000	12.994    	17000.000000	8.36936   	17000.000000	4.33842   	17000.000000	4.17846   	17000.000000	8.36931   	17000.000000	4.45651e-05	
18000.000000	13.8449   	18000.000000	8.69337   	18000.000000	4.35892   	18000.000000	4.20051   	18000.000000	8.69333   	18000.000000	4.2245e-05	
19000.000000	14.7215   	19000.000000	9.01688   	19000.000000	4.37831   	19000.000000	4.22144   	19000.000000	9.01684   	19000.000000	4.01612e-05	
20000.000000	15.6238   	20000.000000	9.33987   	20000.000000	4.39673   	20000.000000	4.24135   	20000.000000	9.33983   	20000.000000	3.8279e-05	
21000.000000	16.552    	21000.000000	9.66233   	21000.000000	4.41419   	21000.000000	4.26033   	21000.000000	9.66229   	21000.000000	3.65702e-05	
22000.000000	17.506    	22000.000000	9.98425   	22000.000000	4.4306    	22000.000000	4.27847   	22000.000000	9.98422   	22000.000000	3.50117e-05	
23000.000000	18.4858   	23000.000000	10.3057   	23000.000000	4.44613   	23000.000000	4.29583   	23000.000000	10.3056   	23000.000000	3.35843e-05	
24000.000000	19.4917   	24000.000000	10.6265   	24000.000000	4.46093   	24000.000000	4.31246   	24000.000000	10.6265   	24000.000000	3.22719e-05	
25000.000000	20.5236   	25000.000000	10.9469   	25000.000000	4.47507   	25000.000000	4.32844   	25000.000000	10.9468   	25000.000000	3.10612e-05	
26000.000000	21.5817   	26000.000000	11.2667   	26000.000000	4.48851   	26000.000000	4.34379   	26000.000000	11.2667   	26000.000000	2.99405e-05	
27000.000000	22.6661   	27000.000000	11.586    	27000.000000	4.50127   	27000.000000	4.35858   	27000.000000	11.586    	27000.000000	2.89002e-05	
28000.000000	23.7769   	28000.000000	11.9049   	28000.000000	4.51346   	28000.000000	4.37284   	28000.000000	11.9049   	28000.000000	2.79318e-05	
29000.000000	24.9142   	29000.000000	12.2232   	29000.000000	4.52519   	29000.000000	4.3866    	29000.000000	12.2232   	29000.000000	2.7028e-05	
30000.000000	26.0781   	30000.000000	12.5411   	30000.000000	4.53648   	30000.000000	4.39989   	30000.000000	12.5411   	30000.000000	2.61825e-05	
32000.000000	28.4863   	32000.000000	13.1755   	32000.000000	4.55767   	32000.000000	4.42521   	32000.000000	13.1755   	32000.000000	2.4645e-05	
34000.000000	31.0025   	34000.000000	13.8081   	34000.000000	4.57709   	34000.000000	4.44899   	34000.000000	13.8081   	34000.000000	2.32828e-05	
36000.000000	33.6278   	36000.000000	14.439    	36000.000000	4.59491   	36000.000000	4.4714    	36000.000000	14.439    	36000.000000	2.20672e-05	
38000.000000	36.3634   	38000.000000	15.0683   	38000.000000	4.61133   	38000.000000	4.4926    	38000.000000	15.0683   	38000.000000	2.09756e-05	
40000.000000	39.2103   	40000.000000	15.696    	40000.000000	4.62655   	40000.000000	4.5127    	40000.000000	15.696    	40000.000000	1.99898e-05	
42000.000000	42.1698   	42000.000000	16.3222   	42000.000000	4.64072   	42000.000000	4.5318    	42000.000000	16.3222   	42000.000000	1.90949e-05	
44000.000000	45.243    	44000.000000	16.947    	44000.000000	4.654     	44000.000000	4.55001   	44000.000000	16.947    	44000.000000	1.82788e-05	
46000.000000	48.4311   	46000.000000	17.5705   	46000.000000	4.66654   	46000.000000	4.5674    	46000.000000	17.5705   	46000.000000	1.75315e-05	
48000.000000	51.7353   	48000.000000	18.1926   	48000.000000	4.67836   	48000.000000	4.58404   	48000.000000	18.1926   	48000.000000	1.68445e-05	
50000.000000	55.157    	50000.000000	18.8135   	50000.000000	4.68936   	50000.000000	4.59999   	50000.000000	18.8134   	50000.000000	1.62108e-05	
