SX3 D 0 ndiv 100
0 0.00155823
1 0.00183469
2 0.00169646
3 0.00168389
4 0.00155823
5 0.0015708
6 0.00159593
7 0.00177186
8 0.00204832
9 0.00182212
10 0.00204832
11 0.00180956
12 0.00177186
13 0.00173416
14 0.00173416
15 0.00180956
16 0.0015708
17 0.00150796
18 0.00174673
19 0.00179699
20 0.00167133
21 0.00183469
22 0.00165876
23 0.00175929
24 0.0015331
25 0.00187239
26 0.0016085
27 0.0015331
28 0.0016085
29 0.00152053
30 0.00164619
31 0.0014954
32 0.00158336
33 0.00150796
34 0.00174673
35 0.00162106
36 0.00185982
37 0.0015708
38 0.00183469
39 0.0014577
40 0.00184726
41 0.0013446
42 0.00172159
43 0.00147027
44 0.0016085
45 0.00175929
46 0.00179699
47 0.00159593
48 0.00162106
49 0.00158336
50 0.00165876
51 0.00144513
52 0.00184726
53 0.00129434
54 0.0013446
55 0.00168389
56 0.00152053
57 0.0013446
58 0.00129434
59 0.00143257
60 0.0013446
61 0.00155823
62 0.00143257
63 0.00133204
64 0.0016085
65 0.00142
66 0.00164619
67 0.00140743
68 0.0014954
69 0.00148283
70 0.00154566
71 0.00129434
72 0.0013069
73 0.00110584
74 0.0013823
75 0.00133204
76 0.0013823
77 0.0013823
78 0.00142
79 0.00128177
80 0.00144513
81 0.00129434
82 0.00143257
83 0.0013069
84 0.0012315
85 0.0014577
86 0.00121894
87 0.00144513
88 0.00106814
89 0.00129434
90 0.00111841
91 0.00121894
92 0.00113097
93 0.00109327
94 0.0012692
95 0.000955044
96 0.00118124
97 0.00121894
98 0.00116867
99 0.00125664

SX3 U 0 ndiv 100
0 0.000490088
1 0.00101788
2 0.000904779
3 0.00105558
4 0.00114354
5 0.00115611
6 0.00154566
7 0.00136973
8 0.00113097
9 0.00136973
10 0.00103044
11 0.00147027
12 0.00226195
13 0.00155823
14 0.0012315
15 0.0013446
16 0.00108071
17 0.00136973
18 0.00113097
19 0.00147027
20 0.00109327
21 0.00118124
22 0.00129434
23 0.00125664
24 0.00139487
